	ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
260	SAO-all-DCM-180-2000-00_bin-12	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	DCM	180-2000-00
261	SAO-all-SRF-5-20-00_bin-25	Viridiplantae	Embryophyta	Streptophyta	Magnoliopsida		Fabales	Fabaceae	Trifolium	Trifolium pratense	SAO-all	SRF	5-20-00
262	NAO-all-MIX-0-8-5-00_bin-144		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	NAO-all	MIX	0-8-5-00
263	SPO-all-SRF-20-180-00_bin-202	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	20-180-00
264	NPO-all-SRF-20-180-00_bin-81	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NPO-all	SRF	20-180-00
265	NPO-all-SRF-20-180-00_bin-18	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae			NPO-all	SRF	20-180-00
266	NAO-all-DCM-0-8-5-00_bin-69		Sar	Bacillariophyta	Mediophyceae	Cymatosirophycidae	Cymatosirales	Cymatosiraceae	Extubocellulus	Extubocellulus spinifer	NAO-all	DCM	0-8-5-00
267	SPO-SPSG-SRF-20-180-00_bin-80	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
268	MS-all-SRF-0-8-5-00_bin-464		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		MS-all	SRF	0-8-5-00
269	IO-all-SRF-20-180-00_bin-109	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
270	SPO-SPSG-DCM-20-180-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	SPO-SPSG	DCM	20-180-00
271	NAO-all-MIX-0-8-5-00_bin-96	Viridiplantae	core chlorophytes	Chlorophyta				Pycnococcaceae	Pycnococcus		NAO-all	MIX	0-8-5-00
272	NAO-all-SRF-5-20-00_bin-30	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	SRF	5-20-00
273	RS-all-SRF-0-8-5-00_bin-32		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	RS-all	SRF	0-8-5-00
274	SPO-SPSG-SRF-5-20-00_bin-72	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	5-20-00
275	IO-all-SRF-20-180-00_bin-66	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				IO-all	SRF	20-180-00
276	IO-all-SRF-0-8-5-00_bin-349		Sar	Bacillariophyta	Coscinodiscophyceae						IO-all	SRF	0-8-5-00
277	IO-all-SRF-180-2000-00_bin-40	Metazoa	Opisthokonta	Chordata	Aves						IO-all	SRF	180-2000-00
278	SAO-all-MES-0-8-5-00_bin-134	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	SAO-all	MES	0-8-5-00
