old_mag_name	new_mag_name
NAO-all-DCM-0-8-5-00_bin-14	TOPAZ_NAD1_E004
NAO-all-DCM-0-8-5-00_bin-160	TOPAZ_NAD1_E005
NAO-all-DCM-0-8-5-00_bin-171	TOPAZ_NAD1_E006
NAO-all-DCM-0-8-5-00_bin-243	TOPAZ_NAD1_E007
NAO-all-DCM-0-8-5-00_bin-34	TOPAZ_NAD1_E008
NAO-all-DCM-0-8-5-00_bin-38	TOPAZ_NAD1_E009
NAO-all-DCM-0-8-5-00_bin-69	TOPAZ_NAD1_E010
NAO-all-DCM-0-8-5-00_bin-77	TOPAZ_NAD1_E011
NAO-all-MES-0-8-5-00_bin-268	TOPAZ_NAM1_E001
NAO-all-MES-0-8-5-00_bin-290	TOPAZ_NAM1_E002
NAO-all-MES-0-8-5-00_bin-372	TOPAZ_NAM1_E003
NAO-all-MES-0-8-5-00_bin-73	TOPAZ_NAM1_E004
NAO-all-MIX-0-8-5-00_bin-111	TOPAZ_NAX1_E001
NAO-all-MIX-0-8-5-00_bin-117	TOPAZ_NAX1_E002
NAO-all-MIX-0-8-5-00_bin-124	TOPAZ_NAX1_E003
NAO-all-MIX-0-8-5-00_bin-130	TOPAZ_NAX1_E004
NAO-all-MIX-0-8-5-00_bin-132	TOPAZ_NAX1_E005
NAO-all-MIX-0-8-5-00_bin-142	TOPAZ_NAX1_E006
NAO-all-MIX-0-8-5-00_bin-144	TOPAZ_NAX1_E007
NAO-all-MIX-0-8-5-00_bin-161	TOPAZ_NAX1_E008
NAO-all-MIX-0-8-5-00_bin-163	TOPAZ_NAX1_E009
NAO-all-MIX-0-8-5-00_bin-168	TOPAZ_NAX1_E010
NAO-all-MIX-0-8-5-00_bin-170	TOPAZ_NAX1_E011
NAO-all-MIX-0-8-5-00_bin-174	TOPAZ_NAX1_E012
NAO-all-MIX-0-8-5-00_bin-192	TOPAZ_NAX1_E013
NAO-all-MIX-0-8-5-00_bin-193	TOPAZ_NAX1_E014
NAO-all-MIX-0-8-5-00_bin-204	TOPAZ_NAX1_E015
NAO-all-MIX-0-8-5-00_bin-238	TOPAZ_NAX1_E016
NAO-all-MIX-0-8-5-00_bin-258	TOPAZ_NAX1_E017
NAO-all-MIX-0-8-5-00_bin-271	TOPAZ_NAX1_E018
NAO-all-MIX-0-8-5-00_bin-275	TOPAZ_NAX1_E019
NAO-all-MIX-0-8-5-00_bin-276	TOPAZ_NAX1_E020
NAO-all-MIX-0-8-5-00_bin-279	TOPAZ_NAX1_E021
NAO-all-MIX-0-8-5-00_bin-34	TOPAZ_NAX1_E022
NAO-all-MIX-0-8-5-00_bin-39	TOPAZ_NAX1_E023
NAO-all-MIX-0-8-5-00_bin-96	TOPAZ_NAX1_E024
NAO-all-SRF-0-8-5-00_bin-120	TOPAZ_NAS1_E001
NAO-all-SRF-0-8-5-00_bin-127	TOPAZ_NAS1_E002
NAO-all-SRF-0-8-5-00_bin-142	TOPAZ_NAS1_E003
NAO-all-SRF-0-8-5-00_bin-143	TOPAZ_NAS1_E004
NAO-all-SRF-0-8-5-00_bin-152	TOPAZ_NAS1_E005
NAO-all-SRF-0-8-5-00_bin-167	TOPAZ_NAS1_E006
NAO-all-SRF-0-8-5-00_bin-169	TOPAZ_NAS1_E007
NAO-all-SRF-0-8-5-00_bin-17	TOPAZ_NAS1_E008
NAO-all-SRF-0-8-5-00_bin-23	TOPAZ_NAS1_E009
NAO-all-SRF-0-8-5-00_bin-230	TOPAZ_NAS1_E010
NAO-all-SRF-0-8-5-00_bin-231	TOPAZ_NAS1_E011
NAO-all-SRF-0-8-5-00_bin-253	TOPAZ_NAS1_E012
NAO-all-SRF-0-8-5-00_bin-273	TOPAZ_NAS1_E013
NAO-all-SRF-0-8-5-00_bin-289	TOPAZ_NAS1_E014
NAO-all-SRF-0-8-5-00_bin-297	TOPAZ_NAS1_E015
NAO-all-SRF-0-8-5-00_bin-300	TOPAZ_NAS1_E016
NAO-all-SRF-0-8-5-00_bin-307	TOPAZ_NAS1_E017
NAO-all-SRF-0-8-5-00_bin-316	TOPAZ_NAS1_E018
NAO-all-SRF-0-8-5-00_bin-320	TOPAZ_NAS1_E019
NAO-all-SRF-0-8-5-00_bin-334	TOPAZ_NAS1_E020
NAO-all-SRF-0-8-5-00_bin-339	TOPAZ_NAS1_E021
NAO-all-SRF-0-8-5-00_bin-366	TOPAZ_NAS1_E022
NAO-all-SRF-0-8-5-00_bin-380	TOPAZ_NAS1_E023
NAO-all-SRF-0-8-5-00_bin-411	TOPAZ_NAS1_E024
NAO-all-SRF-0-8-5-00_bin-419	TOPAZ_NAS1_E025
NAO-all-SRF-0-8-5-00_bin-499	TOPAZ_NAS1_E026
NAO-all-SRF-0-8-5-00_bin-507	TOPAZ_NAS1_E027
NAO-all-SRF-0-8-5-00_bin-516	TOPAZ_NAS1_E028
NAO-all-SRF-0-8-5-00_bin-523	TOPAZ_NAS1_E029
NAO-all-SRF-0-8-5-00_bin-528	TOPAZ_NAS1_E030
NAO-all-SRF-0-8-5-00_bin-550	TOPAZ_NAS1_E031
NAO-all-SRF-0-8-5-00_bin-572	TOPAZ_NAS1_E032
NAO-all-SRF-0-8-5-00_bin-617	TOPAZ_NAS1_E033
NAO-all-SRF-0-8-5-00_bin-631	TOPAZ_NAS1_E034
NAO-all-SRF-0-8-5-00_bin-662	TOPAZ_NAS1_E035
NAO-all-SRF-0-8-5-00_bin-683	TOPAZ_NAS1_E036
NAO-all-SRF-0-8-5-00_bin-745	TOPAZ_NAS1_E037
NAO-all-SRF-0-8-5-00_bin-76	TOPAZ_NAS1_E038
NAO-all-SRF-0-8-5-00_bin-770	TOPAZ_NAS1_E039
NAO-all-SRF-0-8-5-00_bin-8	TOPAZ_NAS1_E040
NAO-all-MIX-180-2000-00_bin-12	TOPAZ_NAX4_E001
NAO-all-MIX-180-2000-00_bin-13	TOPAZ_NAX4_E002
NAO-all-MIX-180-2000-00_bin-8	TOPAZ_NAX4_E003
NAO-all-MIX-180-2000-00_bin-9	TOPAZ_NAX4_E004
NAO-all-SRF-180-2000-00_bin-100	TOPAZ_NAS4_E001
NAO-all-SRF-180-2000-00_bin-22	TOPAZ_NAS4_E002
NAO-all-SRF-180-2000-00_bin-24	TOPAZ_NAS4_E003
NAO-all-SRF-180-2000-00_bin-33	TOPAZ_NAS4_E004
NAO-all-SRF-180-2000-00_bin-49	TOPAZ_NAS4_E005
NAO-all-SRF-180-2000-00_bin-57	TOPAZ_NAS4_E006
NAO-all-SRF-180-2000-00_bin-59	TOPAZ_NAS4_E007
NAO-all-SRF-180-2000-00_bin-73	TOPAZ_NAS4_E008
NAO-all-SRF-180-2000-00_bin-77	TOPAZ_NAS4_E009
NAO-all-SRF-180-2000-00_bin-81	TOPAZ_NAS4_E010
NAO-all-SRF-180-2000-00_bin-87	TOPAZ_NAS4_E011
NAO-all-SRF-180-2000-00_bin-89	TOPAZ_NAS4_E012
NAO-all-SRF-180-2000-00_bin-94	TOPAZ_NAS4_E013
NAO-all-DCM-20-180-00_bin-1	TOPAZ_NAD3_E001
NAO-all-DCM-20-180-00_bin-17	TOPAZ_NAD3_E002
NAO-all-DCM-20-180-00_bin-19	TOPAZ_NAD3_E003
NAO-all-DCM-20-180-00_bin-2	TOPAZ_NAD3_E004
NAO-all-DCM-20-180-00_bin-20	TOPAZ_NAD3_E005
NAO-all-DCM-20-180-00_bin-23	TOPAZ_NAD3_E006
NAO-all-DCM-20-180-00_bin-25	TOPAZ_NAD3_E007
NAO-all-MIX-20-180-00_bin-13	TOPAZ_NAX3_E001
NAO-all-MIX-20-180-00_bin-17	TOPAZ_NAX3_E002
NAO-all-MIX-20-180-00_bin-20	TOPAZ_NAX3_E003
NAO-all-MIX-20-180-00_bin-24	TOPAZ_NAX3_E004
NAO-all-MIX-20-180-00_bin-28	TOPAZ_NAX3_E005
NAO-all-MIX-20-180-00_bin-35	TOPAZ_NAX3_E006
NAO-all-MIX-20-180-00_bin-37	TOPAZ_NAX3_E007
NAO-all-MIX-20-180-00_bin-57	TOPAZ_NAX3_E008
